tree_id,legal_status,species,address,site_order,site_info,caretaker,date,dbh,plot_size,latitude,longitude
50298,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,2909 24th Ave,2.0,Sidewalk: Curb side : Cutout,Private,2004-01-28,6.0,,37.734125220204604,-122.48029267726999
51955,Permitted Site,Metrosideros excelsa :: New Zealand Xmas Tree,1019 Portola Dr,1.0,Sidewalk: Curb side : Cutout,Private,2005-08-08,,,37.741525503636105,-122.45627712083599
62279,Permitted Site,Maytenus boaria :: Mayten,402 Haight St,1.0,Sidewalk: Curb side : Cutout,Private,1985-10-09,,,37.772376128611704,-122.42889659515
103791,Permitted Site,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,1214 Polk St,1.0,Sidewalk: Curb side : Cutout,Private,2009-11-01,3.0,3x3,37.7880269138329,-122.420011690177
62910,Permitted Site,Prunus serrulata :: Ornamental Cherry,417 Cortland Ave,1.0,Sidewalk: Curb side : Cutout,Private,1986-08-05,,,37.7392266645726,-122.417481463141
86117,DPW Maintained,Prunus serrulata :: Ornamental Cherry,2478 24th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2007-01-17,3.0,3x3,37.741399765847504,-122.480868637542
46894,Permitted Site,Magnolia grandiflora :: Southern Magnolia,1445 11th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2006-03-11,,,37.7612347828689,-122.468351943903
94098,DPW Maintained,Lagunaria patersonii :: Primrose Tree,7 Colby St,1.0,Sidewalk: Curb side : Cutout,Private,2010-06-03,4.0,,37.7307017385741,-122.414910830466
41624,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2285 Jerrold Ave,3.0,Sidewalk: Curb side : Cutout,Private,2002-09-28,5.0,,37.745986850809004,-122.402277086926
32722,Permitted Site,Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,644 Hyde St,3.0,Sidewalk: Curb side : Cutout,Private,2011-11-30,3.0,3x3,37.7871969578975,-122.416449089052
42728,DPW Maintained,Pittosporum undulatum :: Victorian Box,1790 Yosemite Ave,5.0,Sidewalk: Curb side : Cutout,Private,2000-06-26,9.0,,37.72882843548361,-122.394977944592
65181,DPW Maintained,Brugmansia spp :: Angel trumpet,1354 Green St,1.0,Sidewalk: Curb side : Cutout,Private,1993-12-29,10.0,,37.7979858332305,-122.42141513132
42181,DPW Maintained,Acer rubrum :: Red Maple,649 Bryant St,1.0,Sidewalk: Curb side : Cutout,Private,2000-06-21,4.0,,37.778365119997204,-122.399424104664
50780,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2257 Filbert St,1.0,Sidewalk: Curb side : Cutout,Private,2004-02-25,3.0,3x3,37.7978432097613,-122.436620688605
24828,Permitted Site,Casurina stricta :: Beefwood: Drooping She-Oak,200X Alemany Blvd,6.0,Sidewalk: Curb side : Cutout,Dept of Real Estate,1996-01-12,18.0,3X3,37.735490432624104,-122.409874802768
64793,Permitted Site,Lophostemon confertus :: Brisbane Box,124 Scott St,1.0,Sidewalk: Curb side : Cutout,Private,1989-01-11,,,37.7708017712881,-122.435144422048
60888,Permitted Site,Metrosideros excelsa :: New Zealand Xmas Tree,874 Filbert St,1.0,Sidewalk: Curb side : Cutout,Private,1983-06-11,,,37.8008825397162,-122.41388925444201
32421,DPW Maintained,Ceratonia siliqua :: Carob,400 Sussex St,1.0,Sidewalk: Curb side : Cutout,Private,1996-10-08,12.0,,37.7372212865363,-122.439318125938
90390,Permitted Site,Pyrus kawakamii :: Evergreen Pear,68 12th St,2.0,Sidewalk: Curb side : Cutout,Private,2008-02-21,3.0,3x3,37.773441570749895,-122.419216927652
30988,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2027 Pacific Ave,1.0,Sidewalk: Curb side : Cutout,Private,1995-03-13,7.0,,37.7939679546034,-122.42936378923099
51254,DPW Maintained,Rhamnus alaternus :: Italian Buckthorn,258 Maynard St,1.0,Sidewalk: Curb side : Cutout,Private,2008-05-30,5.0,3x3,37.7294126791284,-122.42466683341699
221466,DPW Maintained,Acacia stenophylla :: Shoestring Acacia,300x Guerrero St,11.0,Median : Cutout,DPW,2015-06-19,2.0,Width 3ft,37.7651301958204,-122.42415061986601
49713,Permitted Site,Pyrus calleryana :: Ornamental Pear,20 Arco Way,1.0,Sidewalk: Curb side : Cutout,Private,2003-06-03,,,37.7272541884473,-122.444096744934
112887,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,738 09th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2015-08-26,,,37.7744872348519,-122.46687460915399
57111,Permitted Site,Pyrus calleryana :: Ornamental Pear,1378 Pacific Ave,1.0,Sidewalk: Curb side : Cutout,Private,2016-08-09,3.0,,37.795580149108204,-122.417941620632
59014,Permitted Site,Melaleuca ericifolia :: Heath Melaleuca,3758 20th St,1.0,Sidewalk: Curb side : Cutout,Private,1998-03-23,,,37.7583549902775,-122.42483117431499
60302,Permitted Site,Lophostemon confertus :: Brisbane Box,1200 Irving St,1.0,Sidewalk: Curb side : Cutout,Private,1982-10-05,,3x3,37.7639186591654,-122.470632238353
56857,DPW Maintained,Maytenus boaria :: Mayten,2600 Noriega St,1.0,Sidewalk: Curb side : Cutout,Private,1986-02-04,6.0,,37.7536811323925,-122.491643975667
41011,Permitted Site,Melaleuca quinquenervia :: Cajeput,1200 Illinois St,3.0,Sidewalk: Curb side : Cutout,Private,1999-10-19,,,37.7563094360414,-122.38723948899599
61802,Permitted Site,Maytenus boaria :: Mayten,527 Waller St,1.0,Sidewalk: Curb side : Cutout,Private,1985-05-25,,,37.7708275566646,-122.43241117029
36430,Permitted Site,Prunus serrulata :: Ornamental Cherry,435 Montecito Ave,3.0,Sidewalk: Curb side : Cutout,Private,1998-05-18,,,37.7293823258224,-122.457023785093
